"The data shown here is provided by Statistics Canada from the 2006 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2006, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2006,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
 Males 15 years and over in private households with children at home ," 2,445 "," 2,995 "," 3,520 "," 1,915 "," 2,540 "," 4,875 "," 6,610 "," 2,305 "," 4,215 "," 3,175 "," 3,325 "," 1,930 "," 1,970 "," 7,485 "," 3,055 "," 1,295 ", 925 , 790 ," 5,630 "," 4,525 "," 1,930 "," 1,815 "," 69,085 "," 301,000 "
   In the labour force ," 1,780 "," 2,375 "," 2,980 "," 1,605 "," 2,045 "," 3,700 "," 5,280 "," 1,815 "," 3,325 "," 2,785 "," 2,530 "," 1,550 "," 1,370 "," 5,630 "," 2,365 "," 1,110 ", 800 , 575 ," 4,555 "," 3,525 "," 1,520 "," 1,635 "," 54,735 "," 254,240 "
     Employed ," 1,725 "," 2,310 "," 2,885 "," 1,560 "," 1,935 "," 3,630 "," 4,995 "," 1,780 "," 3,160 "," 2,725 "," 2,420 "," 1,480 "," 1,320 "," 5,435 "," 2,335 "," 1,100 ", 785 , 500 ," 4,410 "," 3,415 "," 1,480 "," 1,615 "," 52,880 "," 246,515 "
     Unemployed , 50 , 65 , 95 , 45 , 110 , 70 , 280 , 35 , 165 , 60 , 110 , 70 , 50 , 195 , 30 , 10 , 15 , 70 , 145 , 110 , 45 , 20 ," 1,845 "," 7,720 "
   Not in the labour force , 665 , 620 , 540 , 310 , 495 ," 1,180 "," 1,335 ", 480 , 885 , 390 , 795 , 380 , 595 ," 1,855 ", 690 , 180 , 125 , 215 ," 1,075 "," 1,000 ", 405 , 180 ," 14,350 "," 46,760 "
Participation rate,72.8,79.3,84.7,83.8,80.5,75.9,79.9,78.7,78.9,87.7,76.1,80.3,69.5,75.2,77.4,85.7,86.5,72.8,80.9,77.9,78.8,90.1,79.2,84.5
Employment rate,70.6,77.1,82,81.5,76.2,74.5,75.6,77.2,75,85.8,72.8,76.7,67,72.6,76.4,84.9,84.9,63.3,78.3,75.5,76.7,89,76.5,81.9
Unemployment rate,2.8,2.7,3.2,2.8,5.4,1.9,5.3,1.9,5,2.2,4.3,4.5,3.6,3.5,1.3,0.9,1.9,12.2,3.2,3.1,3,1.2,3.4,3
 Males 15 years and over in private households with children under 6 years only , 210 , 990 , 550 , 685 , 655 , 840 ," 1,160 ", 310 , 570 , 980 , 460 , 600 , 155 ," 1,280 ", 640 , 100 , 265 , 150 ," 1,005 ", 580 , 790 , 325 ," 13,285 "," 52,945 "
   In the labour force , 180 , 890 , 520 , 650 , 565 , 805 ," 1,085 ", 285 , 515 , 960 , 400 , 510 , 130 ," 1,170 ", 610 , 100 , 255 , 125 , 930 , 495 , 685 , 305 ," 12,170 "," 49,500 "
     Employed , 170 , 890 , 500 , 645 , 545 , 790 ," 1,055 ", 270 , 505 , 940 , 395 , 485 , 130 ," 1,115 ", 605 , 100 , 255 , 100 , 920 , 490 , 670 , 305 ," 11,870 "," 48,260 "
     Unemployed , 10 , -   , 20 , 10 , 20 , 15 , 25 , 10 , 15 , 25 , 10 , 30 , -   , 55 , -   , -   , -   , 20 , 10 , 10 , 20 , -   , 305 ," 1,245 "
   Not in the labour force , 30 , 100 , 30 , 35 , 85 , 35 , 75 , 30 , 50 , 20 , 60 , 85 , 20 , 110 , 35 , -   , 10 , 25 , 75 , 80 , 105 , 20 ," 1,110 "," 3,440 "
Participation rate,85.7,89.9,94.5,94.9,86.3,95.8,93.5,91.9,90.4,98,87,85,83.9,91.4,95.3,100,96.2,83.3,92.5,85.3,86.7,93.8,91.6,93.5
Employment rate,81,89.9,90.9,94.2,83.2,94,90.9,87.1,88.6,95.9,85.9,80.8,83.9,87.1,94.5,100,96.2,66.7,91.5,84.5,84.8,93.8,89.3,91.2
Unemployment rate,5.6,0,3.8,1.5,3.5,1.9,2.3,3.5,2.9,2.6,2.5,5.9,0,4.7,0,0,0,16,1.1,2,2.9,0,2.5,2.5
 Males 15 years and over in private households with children under 6 years as well as children 6 years and over , 315 , 345 , 435 , 155 , 280 , 430 , 745 , 175 , 460 , 360 , 350 , 210 , 220 , 685 , 460 , 195 , 70 , 85 , 840 , 335 , 145 , 205 ," 7,470 "," 34,470 "
   In the labour force , 265 , 310 , 405 , 135 , 280 , 385 , 670 , 145 , 430 , 340 , 300 , 195 , 200 , 610 , 420 , 185 , 75 , 80 , 790 , 315 , 110 , 195 ," 6,835 "," 31,880 "
     Employed , 255 , 310 , 400 , 135 , 250 , 385 , 630 , 140 , 405 , 340 , 295 , 185 , 205 , 600 , 410 , 180 , 70 , 70 , 780 , 300 , 105 , 195 ," 6,635 "," 31,070 "
     Unemployed , 10 , -   , 10 , -   , 30 , -   , 45 , 10 , 20 , -   , -   , -   , -   , 15 , 10 , 10 , -   , 10 , 10 , 15 , 10 , -   , 195 , 810 
   Not in the labour force , 55 , 30 , 30 , 25 , -   , 45 , 70 , 25 , 30 , 20 , 55 , 15 , 15 , 75 , 40 , 10 , -   , -   , 50 , 25 , 25 , -   , 635 ," 2,590 "
Participation rate,84.1,89.9,93.1,87.1,100,89.5,89.9,82.9,93.5,94.4,85.7,92.9,90.9,89.1,91.3,94.9,100,94.1,94,94,75.9,95.1,91.5,92.5
Employment rate,81,89.9,92,87.1,89.3,89.5,84.6,80,88,94.4,84.3,88.1,93.2,87.6,89.1,92.3,100,82.4,92.9,89.6,72.4,95.1,88.8,90.1
Unemployment rate,3.8,0,2.5,0,10.7,0,6.7,6.9,4.7,0,0,0,0,2.5,2.4,5.4,0,12.5,1.3,4.8,9.1,0,2.9,2.5
 Males 15 years and over in private households with children 6 years and over only ," 1,915 "," 1,665 "," 2,535 "," 1,075 "," 1,605 "," 3,605 "," 4,705 "," 1,815 "," 3,185 "," 1,835 "," 2,510 "," 1,120 "," 1,590 "," 5,520 "," 1,955 "," 1,000 ", 585 , 560 ," 3,785 "," 3,605 ", 995 ," 1,290 "," 48,325 "," 213,590 "
   In the labour force ," 1,335 "," 1,175 "," 2,055 ", 820 ," 1,195 "," 2,505 "," 3,520 "," 1,390 "," 2,380 "," 1,480 "," 1,835 ", 845 ," 1,035 "," 3,850 "," 1,340 ", 830 , 475 , 365 ," 2,835 "," 2,710 ", 720 ," 1,135 "," 35,725 "," 172,860 "
     Employed ," 1,305 "," 1,105 "," 1,985 ", 780 ," 1,140 "," 2,450 "," 3,305 "," 1,370 "," 2,250 "," 1,450 "," 1,730 ", 805 , 990 ," 3,725 "," 1,315 ", 825 , 455 , 325 ," 2,710 "," 2,620 ", 710 ," 1,120 "," 34,375 "," 167,185 "
     Unemployed , 30 , 65 , 70 , 35 , 55 , 50 , 210 , 20 , 125 , 35 , 100 , 35 , 50 , 130 , 25 , 10 , 15 , 40 , 125 , 85 , 15 , 20 ," 1,345 "," 5,675 "
   Not in the labour force , 585 , 495 , 480 , 255 , 410 ," 1,100 "," 1,180 ", 425 , 805 , 350 , 680 , 280 , 555 ," 1,670 ", 615 , 170 , 115 , 190 , 955 , 895 , 270 , 155 ," 12,600 "," 40,730 "
Participation rate,69.7,70.6,81.1,76.3,74.5,69.5,74.8,76.6,74.7,80.7,73.1,75.4,65.1,69.7,68.5,83,81.2,65.2,74.9,75.2,72.4,88,73.9,80.9
Employment rate,68.1,66.4,78.3,72.6,71,68,70.2,75.5,70.6,79,68.9,71.9,62.3,67.5,67.3,82.5,77.8,58,71.6,72.7,71.4,86.8,71.1,78.3
Unemployment rate,2.2,5.5,3.4,4.3,4.6,2,6,1.4,5.3,2.4,5.4,4.1,4.8,3.4,1.9,1.2,3.2,11,4.4,3.1,2.1,1.8,3.8,3.3
 Females 15 years and over in private households - Presence of children and labour force activity ," 7,275 "," 17,390 "," 8,915 "," 14,815 "," 12,525 "," 14,380 "," 19,170 "," 6,740 "," 11,995 "," 19,455 "," 10,475 "," 10,500 "," 5,915 "," 21,270 "," 9,630 "," 3,935 "," 3,045 "," 4,425 "," 14,900 "," 12,945 "," 20,140 "," 5,765 "," 255,050 "," 903,255 "
   In the labour force ," 3,415 "," 11,495 "," 5,215 "," 10,890 "," 8,755 "," 8,620 "," 12,350 "," 3,570 "," 6,870 "," 14,600 "," 6,165 "," 7,705 "," 2,675 "," 12,460 "," 6,195 "," 2,070 "," 2,060 "," 1,895 "," 8,710 "," 7,135 "," 13,265 "," 3,565 "," 159,425 "," 559,445 "
     Employed ," 3,210 "," 10,865 "," 4,945 "," 10,410 "," 8,050 "," 8,000 "," 11,420 "," 3,365 "," 6,430 "," 13,925 "," 5,760 "," 7,260 "," 2,480 "," 11,550 "," 5,835 "," 1,965 "," 1,930 "," 1,745 "," 8,120 "," 6,650 "," 12,405 "," 3,370 "," 149,480 "," 525,420 "
     Unemployed , 200 , 630 , 270 , 475 , 700 , 620 , 935 , 205 , 440 , 670 , 410 , 445 , 195 , 910 , 360 , 105 , 130 , 150 , 585 , 485 , 860 , 190 ," 9,940 "," 34,030 "
   Not in the labour force ," 3,855 "," 5,895 "," 3,695 "," 3,925 "," 3,775 "," 5,760 "," 6,820 "," 3,170 "," 5,125 "," 4,855 "," 4,305 "," 2,795 "," 3,240 "," 8,810 "," 3,430 "," 1,865 ", 980 ," 2,530 "," 6,190 "," 5,810 "," 6,875 "," 2,200 "," 95,625 "," 343,805 "
Participation rate,46.9,66.1,58.5,73.5,69.9,59.9,64.4,53,57.3,75,58.9,73.4,45.2,58.6,64.3,52.6,67.7,42.8,58.5,55.1,65.9,61.8,62.5,61.9
Employment rate,44.1,62.5,55.5,70.3,64.3,55.6,59.6,49.9,53.6,71.6,55,69.1,41.9,54.3,60.6,49.9,63.4,39.4,54.5,51.4,61.6,58.5,58.6,58.2
Unemployment rate,5.9,5.5,5.2,4.4,8,7.2,7.6,5.7,6.4,4.6,6.7,5.8,7.3,7.3,5.8,5.1,6.3,7.9,6.7,6.8,6.5,5.3,6.2,6.1
 Females 15 years and over in private households with no children at home ," 4,455 "," 13,670 "," 4,970 "," 12,435 "," 8,910 "," 8,575 "," 11,255 "," 4,135 "," 6,920 "," 15,325 "," 6,370 "," 8,090 "," 3,545 "," 12,170 "," 5,940 "," 2,410 "," 1,910 "," 3,280 "," 8,230 "," 7,390 "," 17,585 "," 3,610 "," 170,870 "," 547,425 "
   In the labour force ," 1,945 "," 9,305 "," 2,510 "," 9,185 "," 6,290 "," 4,775 "," 6,920 "," 2,020 "," 3,445 "," 11,565 "," 3,600 "," 6,070 "," 1,495 "," 6,660 "," 3,810 "," 1,180 "," 1,285 "," 1,235 "," 4,505 "," 3,620 "," 11,705 "," 2,010 "," 105,005 "," 314,055 "
     Employed ," 1,820 "," 8,800 "," 2,340 "," 8,855 "," 5,855 "," 4,455 "," 6,355 "," 1,930 "," 3,240 "," 11,070 "," 3,405 "," 5,695 "," 1,365 "," 6,065 "," 3,625 "," 1,075 "," 1,225 "," 1,150 "," 4,185 "," 3,375 "," 11,085 "," 1,885 "," 98,740 "," 294,725 "
     Unemployed , 125 , 505 , 175 , 325 , 435 , 315 , 565 , 90 , 200 , 490 , 195 , 375 , 130 , 595 , 185 , 105 , 60 , 90 , 315 , 245 , 620 , 125 ," 6,260 "," 19,335 "
   Not in the labour force ," 2,510 "," 4,360 "," 2,455 "," 3,250 "," 2,620 "," 3,795 "," 4,335 "," 2,115 "," 3,475 "," 3,755 "," 2,770 "," 2,020 "," 2,050 "," 5,505 "," 2,130 "," 1,230 ", 625 ," 2,045 "," 3,725 "," 3,765 "," 5,875 "," 1,600 "," 65,860 "," 233,370 "
Participation rate,43.7,68.1,50.5,73.9,70.6,55.7,61.5,48.9,49.8,75.5,56.5,75,42.2,54.7,64.1,49,67.3,37.7,54.7,49,66.6,55.7,61.5,57.4
Employment rate,40.9,64.4,47.1,71.2,65.7,52,56.5,46.7,46.8,72.2,53.5,70.4,38.5,49.8,61,44.6,64.1,35.1,50.9,45.7,63,52.2,57.8,53.8
Unemployment rate,6.4,5.4,7,3.5,6.9,6.6,8.2,4.5,5.8,4.2,5.4,6.2,8.7,8.9,4.9,8.9,4.7,7.3,7,6.8,5.3,6.2,6,6.2
 Females 15 years and over in private households with children at home ," 2,820 "," 3,720 "," 3,945 "," 2,370 "," 3,620 "," 5,800 "," 7,920 "," 2,610 "," 5,075 "," 4,130 "," 4,100 "," 2,410 "," 2,365 "," 9,100 "," 3,685 "," 1,525 "," 1,140 "," 1,150 "," 6,670 "," 5,560 "," 2,555 "," 2,155 "," 84,180 "," 355,825 "
   In the labour force ," 1,470 "," 2,185 "," 2,705 "," 1,700 "," 2,460 "," 3,840 "," 5,430 "," 1,555 "," 3,425 "," 3,035 "," 2,560 "," 1,630 "," 1,180 "," 5,795 "," 2,385 ", 885 , 775 , 660 ," 4,205 "," 3,515 "," 1,560 "," 1,550 "," 54,420 "," 245,390 "
     Employed ," 1,395 "," 2,065 "," 2,610 "," 1,555 "," 2,200 "," 3,540 "," 5,060 "," 1,440 "," 3,185 "," 2,855 "," 2,350 "," 1,565 "," 1,115 "," 5,485 "," 2,215 ", 885 , 700 , 600 ," 3,940 "," 3,275 "," 1,320 "," 1,490 "," 50,735 "," 230,695 "
     Unemployed , 75 , 120 , 95 , 145 , 265 , 300 , 365 , 115 , 235 , 180 , 210 , 70 , 70 , 310 , 175 , -   , 75 , 60 , 270 , 240 , 240 , 65 ," 3,680 "," 14,695 "
   Not in the labour force ," 1,345 "," 1,535 "," 1,240 ", 670 ," 1,155 "," 1,960 "," 2,485 "," 1,050 "," 1,650 "," 1,100 "," 1,535 ", 775 ," 1,185 "," 3,300 "," 1,300 ", 635 , 360 , 485 ," 2,465 "," 2,040 ", 995 , 600 ," 29,760 "," 110,435 "
Participation rate,52.1,58.7,68.6,71.7,68,66.2,68.6,59.6,67.5,73.5,62.4,67.6,49.9,63.7,64.7,58,68,57.4,63,63.2,61.1,71.9,64.6,69
Employment rate,49.5,55.5,66.2,65.6,60.8,61,63.9,55.2,62.8,69.1,57.3,64.9,47.1,60.3,60.1,58,61.4,52.2,59.1,58.9,51.7,69.1,60.3,64.8
Unemployment rate,5.1,5.5,3.5,8.5,10.8,7.8,6.7,7.4,6.9,5.9,8.2,4.3,5.9,5.3,7.3,0,9.7,9.1,6.4,6.8,15.4,4.2,6.8,6
 Females 15 years and over in private households with children under 6 years only , 210 ," 1,035 ", 575 , 730 , 805 , 905 ," 1,330 ", 320 , 660 ," 1,080 ", 525 , 690 , 180 ," 1,420 ", 685 , 110 , 275 , 185 ," 1,130 ", 665 , 865 , 360 ," 14,715 "," 58,090 "
   In the labour force , 145 , 695 , 405 , 530 , 525 , 680 , 955 , 195 , 415 , 820 , 270 , 470 , 100 , 970 , 490 , 70 , 210 , 110 , 755 , 500 , 555 , 255 ," 10,090 "," 40,425 "
     Employed , 140 , 640 , 380 , 440 , 465 , 600 , 850 , 165 , 355 , 705 , 210 , 450 , 100 , 905 , 425 , 70 , 165 , 100 , 680 , 435 , 405 , 235 ," 8,920 "," 36,265 "
     Unemployed , -   , 55 , 30 , 85 , 60 , 75 , 100 , 25 , 60 , 110 , 60 , 20 , -   , 60 , 60 , -   , 45 , 10 , 75 , 60 , 155 , 15 ," 1,170 "," 4,160 "
   Not in the labour force , 65 , 340 , 170 , 200 , 280 , 220 , 380 , 125 , 240 , 255 , 260 , 215 , 75 , 450 , 195 , 40 , 65 , 75 , 375 , 170 , 315 , 100 ," 4,620 "," 17,660 "
Participation rate,69,67.1,70.4,72.6,65.2,75.1,71.8,60.9,62.9,75.9,51.4,68.1,55.6,68.3,71.5,63.6,76.4,59.5,66.8,75.2,64.2,70.8,68.6,69.6
Employment rate,66.7,61.8,66.1,60.3,57.8,66.3,63.9,51.6,53.8,65.3,40,65.2,55.6,63.7,62,63.6,60,54.1,60.2,65.4,46.8,65.3,60.6,62.4
Unemployment rate,0,7.9,7.4,16,11.4,11,10.5,12.8,14.5,13.4,22.2,4.3,0,6.2,12.2,0,21.4,9.1,9.9,12,27.9,5.9,11.6,10.3
 Females 15 years and over in private households with children under 6 years as well as children 6 years and over , 300 , 355 , 435 , 155 , 345 , 485 , 860 , 190 , 495 , 380 , 385 , 230 , 220 , 790 , 485 , 210 , 90 , 130 , 920 , 395 , 155 , 220 ," 8,210 "," 37,615 "
   In the labour force , 160 , 245 , 290 , 105 , 240 , 340 , 605 , 105 , 355 , 290 , 220 , 105 , 135 , 500 , 320 , 135 , 65 , 60 , 620 , 255 , 110 , 130 ," 5,395 "," 25,360 "
     Employed , 160 , 240 , 270 , 105 , 180 , 310 , 565 , 100 , 320 , 290 , 210 , 105 , 120 , 465 , 290 , 135 , 50 , 45 , 580 , 240 , 95 , 125 ," 5,015 "," 23,565 "
     Unemployed , -   , 10 , 20 , -   , 55 , 25 , 35 , 10 , 35 , -   , 15 , -   , 10 , 35 , 30 , -   , 10 , 10 , 35 , 20 , 10 , -   , 375 ," 1,790 "
   Not in the labour force , 140 , 110 , 140 , 45 , 105 , 145 , 255 , 85 , 135 , 90 , 165 , 115 , 85 , 295 , 160 , 75 , 30 , 65 , 305 , 140 , 50 , 95 ," 2,820 "," 12,255 "
Participation rate,53.3,69,66.7,67.7,69.6,70.1,70.3,55.3,71.7,76.3,57.1,45.7,61.4,63.3,66,64.3,72.2,46.2,67.4,64.6,71,59.1,65.7,67.4
Employment rate,53.3,67.6,62.1,67.7,52.2,63.9,65.7,52.6,64.6,76.3,54.5,45.7,54.5,58.9,59.8,64.3,55.6,34.6,63,60.8,61.3,56.8,61.1,62.6
Unemployment rate,0,4.1,6.9,0,22.9,7.4,5.8,9.5,9.9,0,6.8,0,7.4,7,9.4,0,15.4,16.7,5.6,7.8,9.1,0,7,7.1
 Females 15 years and over in private households with children 6 years and over only ," 2,305 "," 2,330 "," 2,935 "," 1,495 "," 2,470 "," 4,415 "," 5,725 "," 2,095 "," 3,925 "," 2,670 "," 3,185 "," 1,495 "," 1,965 "," 6,885 "," 2,525 "," 1,205 ", 765 , 830 ," 4,615 "," 4,495 "," 1,530 "," 1,575 "," 61,255 "," 260,120 "
   In the labour force ," 1,165 "," 1,245 "," 2,005 "," 1,070 "," 1,695 "," 2,820 "," 3,875 "," 1,255 "," 2,650 "," 1,920 "," 2,075 "," 1,050 ", 945 ," 4,335 "," 1,580 ", 680 , 505 , 490 ," 2,825 "," 2,760 ", 895 ," 1,170 "," 38,935 "," 179,605 "
     Employed ," 1,090 "," 1,180 "," 1,955 "," 1,010 "," 1,550 "," 2,625 "," 3,645 "," 1,175 "," 2,510 "," 1,860 "," 1,935 "," 1,005 ", 890 ," 4,110 "," 1,495 ", 680 , 485 , 445 ," 2,675 "," 2,600 ", 820 ," 1,125 "," 36,805 "," 170,860 "
     Unemployed , 75 , 65 , 50 , 60 , 145 , 195 , 230 , 80 , 135 , 60 , 140 , 50 , 55 , 220 , 80 , -   , 20 , 40 , 155 , 165 , 75 , 50 ," 2,130 "," 8,740 "
   Not in the labour force ," 1,140 "," 1,080 ", 930 , 420 , 770 ," 1,590 "," 1,850 ", 840 ," 1,275 ", 750 ," 1,110 ", 440 ," 1,020 "," 2,555 ", 945 , 525 , 260 , 345 ," 1,785 "," 1,735 ", 635 , 400 ," 22,320 "," 80,515 "
Participation rate,50.5,53.4,68.3,71.6,68.6,63.9,67.7,59.9,67.5,71.9,65.1,70.2,48.1,63,62.6,56.4,66,59,61.2,61.4,58.5,74.3,63.6,69
Employment rate,47.3,50.6,66.6,67.6,62.8,59.5,63.7,56.1,63.9,69.7,60.8,67.2,45.3,59.7,59.2,56.4,63.4,53.6,58,57.8,53.6,71.4,60.1,65.7
Unemployment rate,6.4,5.2,2.5,5.6,8.6,6.9,5.9,6.4,5.1,3.1,6.7,4.8,5.8,5.1,5.1,0,4,8.2,5.5,6,8.4,4.3,5.5,4.9
 Total persons in private households ," 15,540 "," 41,950 "," 19,905 "," 28,430 "," 27,805 "," 32,965 "," 44,275 "," 14,605 "," 26,825 "," 40,210 "," 23,185 "," 23,130 "," 12,525 "," 48,630 "," 21,620 "," 8,695 "," 6,815 "," 10,655 "," 35,255 "," 28,725 "," 44,210 "," 12,955 "," 568,930 "," 2,084,135 "
  Prevalence of low income before tax in 2005 %,29.4,33.2,14.3,19.2,35.2,23.5,25.1,23.9,22.7,21.3,32.2,31.7,29.7,26.9,20.6,14.8,17.9,59.4,24.2,27.2,32.3,15.7,26.6,20.8
  Prevalence of low income after tax in 2005 %,25.6,29.4,12,15.2,28.3,17.9,18.2,20.2,16.3,17.8,26.4,26.2,24.1,20.3,17.1,11.1,15.2,47.9,18.7,20.9,27.7,13.1,21.4,16.5
 Total persons less than 6 years of age , 660 ," 1,690 "," 1,300 "," 1,070 "," 1,410 "," 1,930 "," 2,890 ", 695 ," 1,455 "," 1,835 "," 1,125 "," 1,150 ", 480 ," 2,850 "," 1,495 ", 435 , 515 , 405 ," 2,575 "," 1,415 "," 1,235 ", 770 ," 29,375 "," 126,105 "
  Prevalence of low income before tax in 2005 %,26.5,21.9,8.1,11.7,31.6,24.1,29,23.7,25.8,20.2,34.2,26.1,27.4,26.4,19.7,0,22.3,59.3,31.3,39.9,21.9,14.2,25.3,21.5
  Prevalence of low income after tax in 2005 %,23.7,18.3,3.9,8.9,24.8,18.7,22.3,22.3,17.9,14.7,28.4,22.2,14.7,19.3,15.7,0,24.5,48.1,25.1,31.1,20.6,7.1,19.8,17.2
 Total persons 65 years of age and over ," 2,620 "," 3,450 "," 2,640 "," 3,240 "," 2,855 "," 5,140 "," 5,595 "," 2,115 "," 3,595 "," 3,485 "," 2,465 "," 1,725 "," 2,395 "," 6,635 "," 2,615 "," 1,410 ", 755 ," 2,470 "," 4,595 "," 4,560 "," 4,805 "," 1,875 "," 71,045 "," 255,510 "
  Prevalence of low income before tax in 2005 %,14.1,45.1,9.5,23,46.3,21.6,26.7,12.8,23.4,20.8,25.6,42,16.1,23.8,24.5,8.9,17.2,75.3,20.7,27.1,35.9,15.5,26.7,20.8
  Prevalence of low income after tax in 2005 %,9.5,30.1,6.1,13.6,31.3,12,14.7,8.3,11.4,14.3,16.8,27.8,11.5,12,16.8,4.3,12.6,54.8,11.4,16.4,24.4,11.2,16.7,12.3
 Total number of census families in private households ," 4,245 "," 9,630 "," 5,960 "," 6,890 "," 6,635 "," 9,090 "," 11,955 "," 3,970 "," 7,745 "," 9,755 "," 6,140 "," 5,010 "," 3,500 "," 13,430 "," 5,830 "," 2,385 "," 1,850 "," 2,080 "," 9,645 "," 8,000 "," 8,710 "," 3,525 "," 145,605 "," 580,120 "
   Size of census family: 2 persons ," 1,730 "," 6,555 "," 2,280 "," 5,020 "," 3,980 "," 3,845 "," 4,905 "," 1,630 "," 3,265 "," 6,465 "," 2,565 "," 3,130 "," 1,410 "," 5,425 "," 2,620 ", 960 , 840 ," 1,165 "," 3,655 "," 3,115 "," 6,750 "," 1,615 "," 72,770 "," 262,475 "
   Size of census family: 3 persons ," 1,055 "," 1,900 "," 1,320 "," 1,185 "," 1,455 "," 2,290 "," 3,015 ", 940 ," 2,070 "," 1,800 "," 1,900 "," 1,045 ", 910 ," 3,630 "," 1,445 ", 450 , 465 , 420 ," 2,355 "," 2,010 "," 1,320 ", 730 ," 33,605 "," 134,790 "
   Size of census family: 4 persons ," 1,075 ", 960 ," 1,700 ", 605 , 885 ," 2,125 "," 2,930 ", 955 ," 1,835 "," 1,180 "," 1,245 ", 630 , 860 ," 3,245 "," 1,270 ", 610 , 420 , 355 ," 2,395 "," 2,070 ", 570 , 935 ," 28,805 "," 132,000 "
   Size of census family: 5 or more persons , 375 , 215 , 660 , 80 , 325 , 825 ," 1,100 ", 450 , 575 , 310 , 430 , 210 , 320 ," 1,125 ", 490 , 355 , 120 , 135 ," 1,240 ", 800 , 65 , 255 ," 10,420 "," 50,850 "
 Total number of census families in private households ," 4,240 "," 9,635 "," 5,965 "," 6,890 "," 6,640 "," 9,090 "," 11,955 "," 3,975 "," 7,745 "," 9,760 "," 6,145 "," 5,015 "," 3,500 "," 13,425 "," 5,830 "," 2,385 "," 1,850 "," 2,080 "," 9,645 "," 8,000 "," 8,710 "," 3,530 "," 145,605 "," 580,120 "
   Total couple families by family structure and number of children ," 3,590 "," 8,545 "," 5,305 "," 5,995 "," 4,905 "," 7,430 "," 9,780 "," 3,475 "," 6,280 "," 8,400 "," 5,070 "," 4,075 "," 2,925 "," 10,960 "," 4,825 "," 2,095 "," 1,540 "," 1,575 "," 8,145 "," 6,480 "," 7,830 "," 3,045 "," 121,995 "," 492,005 "
     Married couples ," 3,390 "," 6,160 "," 4,825 "," 4,165 "," 3,245 "," 6,535 "," 8,615 "," 3,220 "," 5,765 "," 5,695 "," 4,575 "," 2,785 "," 2,790 "," 10,015 "," 4,025 "," 1,940 "," 1,295 "," 1,230 "," 7,705 "," 6,140 "," 4,790 "," 2,650 "," 101,325 "," 433,180 "
       Without children at home ," 1,140 "," 3,510 "," 1,610 "," 2,660 "," 1,360 "," 2,335 "," 2,800 "," 1,120 "," 2,030 "," 3,050 "," 1,530 "," 1,275 ", 940 ," 3,285 "," 1,340 ", 725 , 450 , 565 ," 2,475 "," 1,970 "," 3,230 "," 1,030 "," 40,325 "," 166,040 "
       With children at home ," 2,250 "," 2,645 "," 3,210 "," 1,505 "," 1,885 "," 4,205 "," 5,810 "," 2,100 "," 3,740 "," 2,645 "," 3,045 "," 1,510 "," 1,855 "," 6,735 "," 2,690 "," 1,215 ", 840 , 665 ," 5,230 "," 4,165 "," 1,560 "," 1,625 "," 61,000 "," 267,140 "
         1 child , 840 ," 1,605 "," 1,020 ", 870 , 965 ," 1,580 "," 2,105 ", 770 ," 1,520 "," 1,315 "," 1,465 ", 795 , 715 ," 2,765 "," 1,100 ", 325 , 315 , 265 ," 1,820 "," 1,485 "," 1,040 ", 515 ," 25,155 "," 100,245 "
         2 children ," 1,040 ", 895 ," 1,565 ", 550 , 645 ," 1,870 "," 2,680 ", 905 ," 1,670 "," 1,065 "," 1,160 ", 540 , 815 ," 2,920 "," 1,125 ", 565 , 410 , 295 ," 2,230 "," 1,920 ", 465 , 875 ," 26,160 "," 119,720 "
         3 or more children , 370 , 145 , 625 , 80 , 270 , 750 ," 1,025 ", 425 , 545 , 270 , 420 , 170 , 320 ," 1,045 ", 465 , 325 , 120 , 100 ," 1,175 ", 755 , 60 , 235 ," 9,680 "," 47,170 "
     Common-law couples , 200 ," 2,390 ", 485 ," 1,835 "," 1,665 ", 895 ," 1,165 ", 255 , 510 ," 2,710 ", 495 ," 1,290 ", 130 , 940 , 800 , 150 , 245 , 345 , 440 , 335 ," 3,040 ", 395 ," 20,670 "," 58,825 "
       Without children at home , 145 ," 2,220 ", 290 ," 1,640 "," 1,335 ", 590 , 795 , 150 , 340 ," 2,380 ", 365 ," 1,100 ", 105 , 615 , 620 , 105 , 215 , 295 , 270 , 220 ," 2,795 ", 275 ," 16,840 "," 41,610 "
       With children at home , 55 , 170 , 195 , 190 , 325 , 305 , 360 , 105 , 175 , 330 , 130 , 195 , 25 , 325 , 185 , 50 , 35 , 50 , 170 , 115 , 245 , 120 ," 3,830 "," 17,220 "
